/Users/rohhithg/Desktop/meta_project/.venv/lib/python3.14/site-packages/torch/_subclasses/functional_tensor.py:307: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /Users/runner/work/pytorch/pytorch/pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))
Episode 105 | Reward: -397.694 | Steps: 11 | Success: True | Epsilon: 0.856
Episode 106 | Reward: -1276.001 | Steps: 26 | Success: True | Epsilon: 0.855
Episode 107 | Reward: -140.398 | Steps:  1 | Success: False | Epsilon: 0.854
Episode 108 | Reward: -262.355 | Steps:  8 | Success: True | Epsilon: 0.853
Episode 109 | Reward:  -39.134 | Steps:  4 | Success: True | Epsilon: 0.852
Episode 110 | Reward:  -72.850 | Steps:  1 | Success: False | Epsilon: 0.850
Episode 111 | Reward: -164.746 | Steps:  7 | Success: True | Epsilon: 0.849
Episode 112 | Reward: -1002.484 | Steps: 26 | Success: True | Epsilon: 0.848
Episode 113 | Reward: -471.111 | Steps:  7 | Success: False | Epsilon: 0.847
Episode 114 | Reward: -103.500 | Steps:  1 | Success: False | Epsilon: 0.846
Episode 115 | Reward: -314.976 | Steps: 14 | Success: True | Epsilon: 0.845
Episode 116 | Reward: -335.498 | Steps: 11 | Success: True | Epsilon: 0.844
Episode 117 | Reward: -1105.895 | Steps: 27 | Success: True | Epsilon: 0.843
Episode 118 | Reward: -1076.059 | Steps: 25 | Success: True | Epsilon: 0.842
Episode 119 | Reward: -622.019 | Steps:  9 | Success: False | Epsilon: 0.841
Episode 120 | Reward: -103.500 | Steps:  1 | Success: False | Epsilon: 0.840
Episode 121 | Reward: -377.764 | Steps:  6 | Success: False | Epsilon: 0.838
Episode 122 | Reward: -730.729 | Steps: 21 | Success: True | Epsilon: 0.837
Episode 123 | Reward: -103.500 | Steps:  1 | Success: False | Epsilon: 0.836
Episode 124 | Reward: -104.540 | Steps:  1 | Success: False | Epsilon: 0.835
Episode 125 | Reward:  -41.683 | Steps:  4 | Success: True | Epsilon: 0.834
Validation | episode=125 success=30.00% recent_reward=-387.417
New best model saved. val_success=30.00% recent_reward=-387.417
Episode 126 | Reward: -160.739 | Steps:  9 | Success: True | Epsilon: 0.833
Episode 127 | Reward: -494.449 | Steps: 15 | Success: True | Epsilon: 0.832
Episode 128 | Reward: -284.194 | Steps: 11 | Success: True | Epsilon: 0.831
Episode 129 | Reward: -134.564 | Steps:  7 | Success: True | Epsilon: 0.830
Episode 130 | Reward: -832.333 | Steps: 24 | Success: True | Epsilon: 0.829
Episode 131 | Reward: -796.901 | Steps: 21 | Success: True | Epsilon: 0.828
Episode 132 | Reward: -540.660 | Steps: 15 | Success: True | Epsilon: 0.827
Episode 133 | Reward: -103.500 | Steps:  1 | Success: False | Epsilon: 0.826
Episode 134 | Reward: -605.540 | Steps:  8 | Success: False | Epsilon: 0.825
Episode 135 | Reward:  -42.291 | Steps:  4 | Success: True | Epsilon: 0.824
Episode 136 | Reward: -103.621 | Steps:  1 | Success: False | Epsilon: 0.823
Episode 137 | Reward: -533.316 | Steps: 21 | Success: True | Epsilon: 0.821
Episode 138 | Reward: -518.800 | Steps: 17 | Success: True | Epsilon: 0.820
Episode 139 | Reward: -103.898 | Steps:  1 | Success: False | Epsilon: 0.819
Episode 140 | Reward: -104.471 | Steps:  1 | Success: False | Epsilon: 0.818
Episode 141 | Reward: -352.577 | Steps:  5 | Success: False | Epsilon: 0.817
Episode 142 | Reward: -103.500 | Steps:  1 | Success: False | Epsilon: 0.816
Episode 143 | Reward: -916.120 | Steps: 13 | Success: False | Epsilon: 0.815
Episode 144 | Reward: -843.682 | Steps: 20 | Success: True | Epsilon: 0.814
Episode 145 | Reward:  -53.117 | Steps:  5 | Success: True | Epsilon: 0.813
Episode 146 | Reward: -212.315 | Steps:  8 | Success: True | Epsilon: 0.812
Episode 147 | Reward:  -44.179 | Steps:  4 | Success: True | Epsilon: 0.811
Episode 148 | Reward: -104.340 | Steps:  1 | Success: False | Epsilon: 0.810
Episode 149 | Reward:  -54.504 | Steps:  5 | Success: True | Epsilon: 0.809
Episode 150 | Reward: -714.237 | Steps: 32 | Success: True | Epsilon: 0.808
Validation | episode=150 success=20.00% recent_reward=-337.202
Episode 151 | Reward: -121.530 | Steps:  1 | Success: False | Epsilon: 0.807
Episode 152 | Reward: -1456.937 | Steps: 34 | Success: True | Epsilon: 0.806
Episode 153 | Reward:  -27.071 | Steps:  3 | Success: True | Epsilon: 0.805
Episode 154 | Reward: -103.905 | Steps:  1 | Success: False | Epsilon: 0.804
Episode 155 | Reward:  -83.894 | Steps:  5 | Success: True | Epsilon: 0.803
Episode 156 | Reward: -104.207 | Steps:  1 | Success: False | Epsilon: 0.802
Episode 157 | Reward:  -86.230 | Steps:  1 | Success: False | Epsilon: 0.801
Episode 158 | Reward: -500.871 | Steps: 33 | Success: True | Epsilon: 0.800
Episode 159 | Reward: -270.357 | Steps: 11 | Success: True | Epsilon: 0.799
Episode 160 | Reward: -524.619 | Steps: 16 | Success: True | Epsilon: 0.798
Episode 161 | Reward: -190.699 | Steps:  8 | Success: True | Epsilon: 0.797
Episode 162 | Reward: -742.131 | Steps: 25 | Success: True | Epsilon: 0.796
Episode 163 | Reward:  -41.987 | Steps:  4 | Success: True | Epsilon: 0.795
Episode 164 | Reward:  -78.674 | Steps:  7 | Success: True | Epsilon: 0.794
Episode 165 | Reward: -399.369 | Steps: 15 | Success: True | Epsilon: 0.793
Episode 166 | Reward: -338.381 | Steps: 12 | Success: True | Epsilon: 0.792
Episode 167 | Reward: -1486.979 | Steps: 30 | Success: True | Epsilon: 0.791
Episode 168 | Reward: -104.037 | Steps:  1 | Success: False | Epsilon: 0.790
Episode 169 | Reward: -655.197 | Steps: 20 | Success: True | Epsilon: 0.789
Episode 170 | Reward: -191.527 | Steps:  9 | Success: True | Epsilon: 0.788
Episode 171 | Reward: -209.836 | Steps:  8 | Success: True | Epsilon: 0.787
Episode 172 | Reward: -493.214 | Steps: 14 | Success: True | Epsilon: 0.786
Episode 173 | Reward: -250.258 | Steps: 12 | Success: True | Epsilon: 0.785
Episode 174 | Reward:  -81.201 | Steps:  7 | Success: True | Epsilon: 0.784
Episode 175 | Reward: -104.422 | Steps:  1 | Success: False | Epsilon: 0.783
Validation | episode=175 success=30.00% recent_reward=-325.904
New best model saved. val_success=30.00% recent_reward=-325.904
Episode 176 | Reward: -294.604 | Steps: 13 | Success: True | Epsilon: 0.782
Episode 177 | Reward: -350.603 | Steps:  5 | Success: False | Epsilon: 0.781
Episode 178 | Reward: -778.728 | Steps: 19 | Success: True | Epsilon: 0.780
Episode 179 | Reward: -627.798 | Steps: 20 | Success: True | Epsilon: 0.779
Episode 180 | Reward: -360.371 | Steps: 12 | Success: True | Epsilon: 0.778
Episode 181 | Reward: -1363.537 | Steps: 32 | Success: True | Epsilon: 0.777
