/Users/rohhithg/Desktop/meta_project/.venv/lib/python3.14/site-packages/torch/_subclasses/functional_tensor.py:307: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /Users/runner/work/pytorch/pytorch/pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))
Episode 127 | Reward:   40.000 | Steps: 24 | Success: True | Epsilon: 0.845
Episode 128 | Reward:   -2.000 | Steps: 34 | Success: True | Epsilon: 0.844
Episode 129 | Reward:   26.000 | Steps: 23 | Success: True | Epsilon: 0.843
Episode 130 | Reward:   16.000 | Steps:  6 | Success: True | Epsilon: 0.842
Episode 131 | Reward:   20.000 | Steps: 29 | Success: True | Epsilon: 0.841
Episode 132 | Reward:  -30.000 | Steps:  5 | Success: False | Epsilon: 0.839
Episode 133 | Reward:   10.000 | Steps: 29 | Success: True | Epsilon: 0.838
Episode 134 | Reward:   30.000 | Steps: 28 | Success: True | Epsilon: 0.837
Episode 135 | Reward:   10.000 | Steps:  3 | Success: True | Epsilon: 0.836
Episode 136 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.834
Episode 137 | Reward:   36.000 | Steps: 16 | Success: True | Epsilon: 0.833
Episode 138 | Reward:   30.000 | Steps: 13 | Success: True | Epsilon: 0.832
Episode 139 | Reward:   28.000 | Steps: 21 | Success: True | Epsilon: 0.831
Episode 140 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.830
Episode 141 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.828
Episode 142 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.827
Episode 143 | Reward:   54.000 | Steps: 25 | Success: True | Epsilon: 0.826
Episode 144 | Reward:   -6.000 | Steps: 31 | Success: True | Epsilon: 0.825
Episode 145 | Reward:   23.000 | Steps: 26 | Success: True | Epsilon: 0.823
Episode 146 | Reward:   40.000 | Steps: 27 | Success: True | Epsilon: 0.822
Episode 147 | Reward:   10.000 | Steps:  3 | Success: True | Epsilon: 0.821
Episode 148 | Reward:   -8.000 | Steps:  1 | Success: False | Epsilon: 0.820
Episode 149 | Reward:   30.000 | Steps: 22 | Success: True | Epsilon: 0.818
Episode 150 | Reward:   -8.000 | Steps:  1 | Success: False | Epsilon: 0.817
Episode 151 | Reward:  -62.000 | Steps: 40 | Success: False | Epsilon: 0.816
Episode 152 | Reward:  -40.000 | Steps:  7 | Success: False | Epsilon: 0.815
Episode 153 | Reward:  -67.000 | Steps: 38 | Success: True | Epsilon: 0.814
Episode 154 | Reward:  -36.000 | Steps:  7 | Success: False | Epsilon: 0.812
Episode 155 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.811
Episode 156 | Reward:   23.000 | Steps: 22 | Success: True | Epsilon: 0.810
Episode 157 | Reward:   -8.000 | Steps:  1 | Success: False | Epsilon: 0.809
Episode 158 | Reward:    4.000 | Steps: 35 | Success: True | Epsilon: 0.807
Episode 159 | Reward:  -15.000 | Steps:  1 | Success: False | Epsilon: 0.806
Episode 160 | Reward:   34.000 | Steps: 15 | Success: True | Epsilon: 0.805
Episode 161 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.804
Episode 162 | Reward:   16.000 | Steps: 24 | Success: True | Epsilon: 0.803
Episode 163 | Reward:   -9.000 | Steps: 31 | Success: True | Epsilon: 0.801
Episode 164 | Reward:  -38.000 | Steps:  7 | Success: False | Epsilon: 0.800
Episode 165 | Reward:    8.000 | Steps: 30 | Success: True | Epsilon: 0.799
Episode 166 | Reward:   24.000 | Steps: 28 | Success: True | Epsilon: 0.798
Episode 167 | Reward:    9.000 | Steps:  3 | Success: True | Epsilon: 0.796
