Episode 123 | Reward:  -26.444 | Steps:  1 | Success: False | Epsilon: 0.836
Episode 124 | Reward:  -22.672 | Steps:  1 | Success: False | Epsilon: 0.835
Episode 125 | Reward:  -27.722 | Steps:  1 | Success: False | Epsilon: 0.834
Validation | episode=125 success=26.00% recent_reward=-68.155
Episode 126 | Reward:  -75.522 | Steps: 20 | Success: True | Epsilon: 0.833
Episode 127 | Reward:  -84.159 | Steps: 16 | Success: True | Epsilon: 0.832
Episode 128 | Reward:  -26.296 | Steps:  1 | Success: False | Epsilon: 0.831
Episode 129 | Reward:  -91.568 | Steps:  6 | Success: False | Epsilon: 0.830
Episode 130 | Reward:  -22.619 | Steps:  1 | Success: False | Epsilon: 0.829
Episode 131 | Reward: -158.622 | Steps: 10 | Success: False | Epsilon: 0.828
Episode 132 | Reward: -114.211 | Steps:  7 | Success: False | Epsilon: 0.827
Episode 133 | Reward:   -0.979 | Steps:  4 | Success: True | Epsilon: 0.826
Episode 134 | Reward: -139.582 | Steps: 17 | Success: True | Epsilon: 0.825
Episode 135 | Reward: -166.152 | Steps: 20 | Success: True | Epsilon: 0.824
Episode 136 | Reward:  -27.975 | Steps:  1 | Success: False | Epsilon: 0.823
Episode 137 | Reward:   -0.771 | Steps:  4 | Success: True | Epsilon: 0.821
Episode 138 | Reward:    2.962 | Steps:  3 | Success: True | Epsilon: 0.820
Episode 139 | Reward: -172.845 | Steps: 22 | Success: True | Epsilon: 0.819
Episode 140 | Reward:    2.669 | Steps:  3 | Success: True | Epsilon: 0.818
Episode 141 | Reward: -266.163 | Steps: 24 | Success: True | Epsilon: 0.817
Episode 142 | Reward:  -92.382 | Steps:  6 | Success: False | Epsilon: 0.816
Episode 143 | Reward:  -44.175 | Steps: 10 | Success: True | Epsilon: 0.815
Episode 144 | Reward:  -26.450 | Steps:  1 | Success: False | Epsilon: 0.814
Episode 145 | Reward: -344.943 | Steps: 39 | Success: True | Epsilon: 0.813
Episode 146 | Reward:  -29.603 | Steps:  7 | Success: True | Epsilon: 0.812
Episode 147 | Reward:    3.066 | Steps:  3 | Success: True | Epsilon: 0.811
Episode 148 | Reward:  -10.431 | Steps:  5 | Success: True | Epsilon: 0.810
Episode 149 | Reward:  -26.200 | Steps:  1 | Success: False | Epsilon: 0.809
Episode 150 | Reward: -110.510 | Steps:  7 | Success: False | Epsilon: 0.808
Validation | episode=150 success=16.00% recent_reward=-74.443
Episode 151 | Reward: -198.451 | Steps: 23 | Success: True | Epsilon: 0.807
Episode 152 | Reward:  -49.470 | Steps: 11 | Success: True | Epsilon: 0.806
Episode 153 | Reward:  -75.318 | Steps:  5 | Success: False | Epsilon: 0.805
Episode 154 | Reward: -131.457 | Steps: 19 | Success: True | Epsilon: 0.804
Episode 155 | Reward:    2.919 | Steps:  3 | Success: True | Epsilon: 0.803
Episode 156 | Reward: -106.705 | Steps:  7 | Success: False | Epsilon: 0.802
Episode 157 | Reward: -185.837 | Steps: 20 | Success: True | Epsilon: 0.801
Episode 158 | Reward: -116.592 | Steps:  7 | Success: False | Epsilon: 0.800
Episode 159 | Reward:  -33.261 | Steps:  1 | Success: False | Epsilon: 0.799
Episode 160 | Reward:  -26.581 | Steps:  1 | Success: False | Epsilon: 0.798
Episode 161 | Reward:  -66.595 | Steps: 12 | Success: True | Epsilon: 0.797
Episode 162 | Reward:  -26.296 | Steps:  1 | Success: False | Epsilon: 0.796
Episode 163 | Reward:  -94.826 | Steps:  6 | Success: False | Epsilon: 0.795
Episode 164 | Reward:  -26.501 | Steps:  1 | Success: False | Epsilon: 0.794
Episode 165 | Reward:  -55.282 | Steps: 12 | Success: True | Epsilon: 0.793
Episode 166 | Reward:  -92.322 | Steps:  6 | Success: False | Epsilon: 0.792
Episode 167 | Reward: -114.304 | Steps:  7 | Success: False | Epsilon: 0.791
Episode 168 | Reward:  -75.749 | Steps:  5 | Success: False | Epsilon: 0.790
Episode 169 | Reward:  -96.416 | Steps:  6 | Success: False | Epsilon: 0.789
Episode 170 | Reward:  -33.299 | Steps:  1 | Success: False | Epsilon: 0.788
Episode 171 | Reward:  -22.386 | Steps:  1 | Success: False | Epsilon: 0.787
Episode 172 | Reward:   -9.797 | Steps:  5 | Success: True | Epsilon: 0.786
Episode 173 | Reward:  -76.348 | Steps: 21 | Success: True | Epsilon: 0.785
Episode 174 | Reward: -320.191 | Steps: 34 | Success: True | Epsilon: 0.784
Episode 175 | Reward:    3.068 | Steps:  3 | Success: True | Epsilon: 0.783
Validation | episode=175 success=24.00% recent_reward=-73.389
Episode 176 | Reward: -127.851 | Steps:  8 | Success: False | Epsilon: 0.782
Episode 177 | Reward: -134.373 | Steps:  8 | Success: False | Epsilon: 0.781
Episode 178 | Reward:    3.068 | Steps:  3 | Success: True | Epsilon: 0.780
Episode 179 | Reward:  -40.775 | Steps: 14 | Success: True | Epsilon: 0.779
Episode 180 | Reward:  -21.341 | Steps:  1 | Success: False | Epsilon: 0.778
Episode 181 | Reward:  -36.713 | Steps:  2 | Success: False | Epsilon: 0.777
Episode 182 | Reward: -152.450 | Steps:  9 | Success: False | Epsilon: 0.776
Episode 183 | Reward: -141.829 | Steps:  9 | Success: False | Epsilon: 0.775
Episode 184 | Reward:  -32.124 | Steps:  1 | Success: False | Epsilon: 0.774
Episode 185 | Reward: -247.781 | Steps: 26 | Success: True | Epsilon: 0.773
Episode 186 | Reward: -141.226 | Steps:  9 | Success: False | Epsilon: 0.772
Episode 187 | Reward:  -40.725 | Steps:  8 | Success: True | Epsilon: 0.771
Episode 188 | Reward:  -94.686 | Steps: 16 | Success: True | Epsilon: 0.770
Episode 189 | Reward: -180.395 | Steps: 18 | Success: True | Epsilon: 0.769
Episode 190 | Reward:  -53.343 | Steps: 14 | Success: True | Epsilon: 0.768
Episode 191 | Reward:  -26.669 | Steps:  1 | Success: False | Epsilon: 0.767
Episode 192 | Reward:  -26.431 | Steps:  1 | Success: False | Epsilon: 0.766
Episode 193 | Reward: -123.465 | Steps:  8 | Success: False | Epsilon: 0.765
Episode 194 | Reward:  -33.280 | Steps:  1 | Success: False | Epsilon: 0.764
Episode 195 | Reward: -192.840 | Steps: 21 | Success: True | Epsilon: 0.763
Episode 196 | Reward:  -50.429 | Steps: 11 | Success: True | Epsilon: 0.762
Episode 197 | Reward:   -1.218 | Steps:  4 | Success: True | Epsilon: 0.761
Episode 198 | Reward:   -0.740 | Steps:  4 | Success: True | Epsilon: 0.760
Episode 199 | Reward:   -0.274 | Steps:  4 | Success: True | Epsilon: 0.759
Episode 200 | Reward: -219.221 | Steps: 24 | Success: True | Epsilon: 0.758
Validation | episode=200 success=24.00% recent_reward=-84.759
Episode 201 | Reward:   -0.907 | Steps:  4 | Success: True | Epsilon: 0.757
Episode 202 | Reward:  -26.296 | Steps:  1 | Success: False | Epsilon: 0.756
Episode 203 | Reward:   -3.955 | Steps:  5 | Success: True | Epsilon: 0.755
Episode 204 | Reward:   -1.062 | Steps:  4 | Success: True | Epsilon: 0.754
Episode 205 | Reward:  -58.503 | Steps: 12 | Success: True | Epsilon: 0.753
Episode 206 | Reward:  -31.164 | Steps:  1 | Success: False | Epsilon: 0.752
Episode 207 | Reward:  -17.537 | Steps:  6 | Success: True | Epsilon: 0.751
Episode 208 | Reward:    3.099 | Steps:  3 | Success: True | Epsilon: 0.750
Episode 209 | Reward:  -21.721 | Steps:  1 | Success: False | Epsilon: 0.749
Episode 210 | Reward:  -26.434 | Steps:  1 | Success: False | Epsilon: 0.748
Episode 211 | Reward:  -27.789 | Steps:  1 | Success: False | Epsilon: 0.747
Episode 212 | Reward:   -0.716 | Steps:  4 | Success: True | Epsilon: 0.746
Episode 213 | Reward:  -26.308 | Steps:  1 | Success: False | Epsilon: 0.745
Episode 214 | Reward:  -89.468 | Steps: 13 | Success: True | Epsilon: 0.744
Episode 215 | Reward: -144.686 | Steps:  9 | Success: False | Epsilon: 0.743
Episode 216 | Reward:  -22.713 | Steps:  7 | Success: True | Epsilon: 0.742
Episode 217 | Reward:   -7.173 | Steps:  6 | Success: True | Epsilon: 0.741
Episode 218 | Reward:   -7.421 | Steps:  6 | Success: True | Epsilon: 0.741
Episode 219 | Reward:  -45.153 | Steps: 10 | Success: True | Epsilon: 0.740
Episode 220 | Reward:  -26.200 | Steps:  1 | Success: False | Epsilon: 0.739
Episode 221 | Reward:  -57.760 | Steps: 12 | Success: True | Epsilon: 0.738
Episode 222 | Reward:  -26.550 | Steps:  1 | Success: False | Epsilon: 0.737
Episode 223 | Reward:    2.959 | Steps:  3 | Success: True | Epsilon: 0.736
Episode 224 | Reward:  -37.651 | Steps:  9 | Success: True | Epsilon: 0.735
Episode 225 | Reward: -204.917 | Steps: 23 | Success: True | Epsilon: 0.734
Validation | episode=225 success=46.00% recent_reward=-39.264
Episode 226 | Reward:   -7.567 | Steps:  6 | Success: True | Epsilon: 0.733
Episode 227 | Reward:  -52.018 | Steps: 11 | Success: True | Epsilon: 0.732
Episode 228 | Reward:  -28.319 | Steps:  8 | Success: True | Epsilon: 0.731
Episode 229 | Reward:  -26.628 | Steps:  1 | Success: False | Epsilon: 0.730
Episode 230 | Reward:  -28.025 | Steps:  1 | Success: False | Epsilon: 0.729
Episode 231 | Reward:   -4.794 | Steps:  4 | Success: True | Epsilon: 0.728
Episode 232 | Reward: -122.859 | Steps: 40 | Success: True | Epsilon: 0.727
Episode 233 | Reward:  -22.530 | Steps:  1 | Success: False | Epsilon: 0.726
Episode 234 | Reward:  -23.826 | Steps:  1 | Success: False | Epsilon: 0.725
Episode 235 | Reward:  -89.182 | Steps:  6 | Success: False | Epsilon: 0.724
Episode 236 | Reward:  -50.558 | Steps: 13 | Success: True | Epsilon: 0.723
Episode 237 | Reward:  -28.675 | Steps:  7 | Success: True | Epsilon: 0.723
Episode 238 | Reward:  -18.712 | Steps:  1 | Success: False | Epsilon: 0.722
