/Users/rohhithg/Desktop/meta_project/.venv/lib/python3.14/site-packages/torch/_subclasses/functional_tensor.py:307: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /Users/runner/work/pytorch/pytorch/pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))
Episode 213 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.712
Episode 214 | Reward:   14.000 | Steps:  5 | Success: True | Epsilon: 0.711
Episode 215 | Reward:  -15.000 | Steps:  1 | Success: False | Epsilon: 0.709
Episode 216 | Reward:   23.000 | Steps: 10 | Success: True | Epsilon: 0.708
Episode 217 | Reward:   15.000 | Steps: 24 | Success: True | Epsilon: 0.706
Episode 218 | Reward:   10.000 | Steps:  3 | Success: True | Epsilon: 0.705
Episode 219 | Reward:   27.000 | Steps: 12 | Success: True | Epsilon: 0.704
Episode 220 | Reward:   10.000 | Steps:  3 | Success: True | Epsilon: 0.702
Episode 221 | Reward:   22.000 | Steps: 18 | Success: True | Epsilon: 0.701
Episode 222 | Reward:   15.000 | Steps: 24 | Success: True | Epsilon: 0.700
Episode 223 | Reward:   10.000 | Steps:  3 | Success: True | Epsilon: 0.698
Episode 224 | Reward:   16.000 | Steps: 12 | Success: True | Epsilon: 0.697
Episode 225 | Reward:    5.000 | Steps: 31 | Success: True | Epsilon: 0.696
Episode 226 | Reward:   10.000 | Steps:  3 | Success: True | Epsilon: 0.694
Episode 227 | Reward: -110.000 | Steps: 40 | Success: False | Epsilon: 0.693
Episode 228 | Reward:  -34.000 | Steps:  5 | Success: False | Epsilon: 0.691
Episode 229 | Reward:    7.000 | Steps: 12 | Success: True | Epsilon: 0.690
Episode 230 | Reward:  -36.000 | Steps:  6 | Success: False | Epsilon: 0.689
Episode 231 | Reward:   10.000 | Steps:  3 | Success: True | Epsilon: 0.687
Episode 232 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.686
Episode 233 | Reward:   10.000 | Steps:  3 | Success: True | Epsilon: 0.685
Episode 234 | Reward:   10.000 | Steps: 16 | Success: True | Epsilon: 0.683
Episode 235 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.682
Episode 236 | Reward:   -8.000 | Steps:  1 | Success: False | Epsilon: 0.681
Episode 237 | Reward:  -32.000 | Steps:  7 | Success: False | Epsilon: 0.679
Episode 238 | Reward:   20.000 | Steps:  8 | Success: True | Epsilon: 0.678
Episode 239 | Reward:   14.000 | Steps:  2 | Success: True | Epsilon: 0.677
Episode 240 | Reward:  -37.000 | Steps:  6 | Success: False | Epsilon: 0.675
Episode 241 | Reward:   11.000 | Steps:  4 | Success: True | Epsilon: 0.674
Episode 242 | Reward:  -43.000 | Steps:  7 | Success: False | Epsilon: 0.672
Episode 243 | Reward:   -7.000 | Steps: 22 | Success: True | Epsilon: 0.671
Episode 244 | Reward:   -8.000 | Steps: 21 | Success: True | Epsilon: 0.670
Episode 245 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.668
Episode 246 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.667
Episode 247 | Reward:   -8.000 | Steps:  1 | Success: False | Epsilon: 0.666
Episode 248 | Reward:   -1.000 | Steps: 22 | Success: True | Epsilon: 0.664
Episode 249 | Reward:  -12.000 | Steps: 19 | Success: True | Epsilon: 0.663
Episode 250 | Reward:   13.000 | Steps:  5 | Success: True | Epsilon: 0.662
Episode 251 | Reward:   12.000 | Steps:  4 | Success: True | Epsilon: 0.660
Episode 252 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.659
Episode 253 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.658
Episode 254 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.656
Episode 255 | Reward:  -26.000 | Steps:  5 | Success: False | Epsilon: 0.655
Episode 256 | Reward:   23.000 | Steps: 10 | Success: True | Epsilon: 0.653
Episode 257 | Reward:   21.000 | Steps: 27 | Success: True | Epsilon: 0.652
Episode 258 | Reward:   11.000 | Steps: 17 | Success: True | Epsilon: 0.651
Episode 259 | Reward:   17.000 | Steps: 12 | Success: True | Epsilon: 0.649
Episode 260 | Reward:   17.000 | Steps:  7 | Success: True | Epsilon: 0.648
Episode 261 | Reward:  -93.000 | Steps: 40 | Success: False | Epsilon: 0.647
Episode 262 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.645
Episode 263 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.644
Episode 264 | Reward:   14.000 | Steps: 20 | Success: True | Epsilon: 0.643
Episode 265 | Reward:  -38.000 | Steps:  7 | Success: False | Epsilon: 0.641
Episode 266 | Reward:    7.000 | Steps:  2 | Success: True | Epsilon: 0.640
